# Série;Designação da série (PT);Métrica;Unidade de Medida;Período de referência;Valor;Estado
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2019-02-28;253740.56;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2019-03-31;254685.06;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2019-04-30;256687.23;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2019-05-31;256841.21;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2019-06-30;251441.97;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2019-07-31;251171.59;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2019-08-31;252236.79;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2019-09-30;252466.26;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2019-10-31;251698.14;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2019-11-30;251435.59;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2019-12-31;249985.14;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2020-01-31;252266.54;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2020-02-29;255348.80;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2020-03-31;254768.68;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2020-04-30;261981.94;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2020-05-31;264357.29;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2020-06-30;259886.68;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2020-07-31;264670.31;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2020-08-31;267113.66;
